,date,btc_average
695,2019-03-05,3790.325
696,2019-03-04,3750.3450000000003
697,2019-03-03,3808.16
698,2019-03-02,3806.7799999999997
699,2019-03-01,3835.005
700,2019-02-28,3825.935
701,2019-02-27,3758.01
702,2019-02-26,3809.255
703,2019-02-25,3806.33
704,2019-02-24,3955.33
705,2019-02-23,4047.585
706,2019-02-22,3957.325
707,2019-02-21,3958.755
708,2019-02-20,3928.8199999999997
709,2019-02-19,3925.26
710,2019-02-18,3790.0
711,2019-02-17,3652.255
712,2019-02-16,3623.055
713,2019-02-15,3613.34
714,2019-02-14,3597.255
715,2019-02-13,3630.875
716,2019-02-12,3624.9700000000003
717,2019-02-11,3650.215
718,2019-02-10,3647.375
719,2019-02-09,3652.575
720,2019-02-08,3553.34
721,2019-02-07,3408.225
722,2019-02-06,3431.3599999999997
723,2019-02-05,3463.7
724,2019-02-04,3459.0950000000003
725,2019-02-03,3468.545
726,2019-02-02,3483.3450000000003
727,2019-02-01,3444.6
728,2019-01-31,3454.0
729,2019-01-30,3432.55
730,2019-01-29,3396.685
731,2019-01-28,3469.01
732,2019-01-27,3532.5
733,2019-01-26,3603.9700000000003
734,2019-01-25,3554.83
735,2019-01-24,3559.1099999999997
736,2019-01-23,3561.24
737,2019-01-22,3521.675
738,2019-01-21,3517.505
739,2019-01-20,3584.365
740,2019-01-19,3657.115
741,2019-01-18,3592.875
742,2019-01-17,3582.545
743,2019-01-16,3594.255
744,2019-01-15,3582.52
745,2019-01-14,3569.4449999999997
746,2019-01-13,3526.2
747,2019-01-12,3574.0950000000003
748,2019-01-11,3561.5
749,2019-01-10,3768.005
750,2019-01-09,3968.425
751,2019-01-08,3986.4
752,2019-01-07,3969.715
753,2019-01-06,3883.855
754,2019-01-05,3795.995
755,2019-01-04,3763.605
756,2019-01-03,3796.37
757,2019-01-02,3816.295
758,2019-01-01,3726.08
759,2018-12-31,3720.165
760,2018-12-30,3780.7
761,2018-12-29,3781.0
762,2018-12-28,3713.645
763,2018-12-27,3674.49
764,2018-12-26,3746.9449999999997
765,2018-12-25,3833.205
766,2018-12-24,4061.415
767,2018-12-23,3945.7650000000003
768,2018-12-22,3882.0
769,2018-12-21,3951.995
770,2018-12-20,3877.5
771,2018-12-19,3767.6400000000003
772,2018-12-18,3551.5299999999997
773,2018-12-17,3400.5
774,2018-12-16,3240.0
775,2018-12-15,3216.38
776,2018-12-14,3256.1949999999997
777,2018-12-13,3357.75
778,2018-12-12,3421.0
779,2018-12-11,3402.16
780,2018-12-10,3490.0550000000003
781,2018-12-09,3526.02
782,2018-12-08,3358.5
783,2018-12-07,3387.295
784,2018-12-06,3699.995
785,2018-12-05,3857.5
786,2018-12-04,3933.0
787,2018-12-03,4003.0
788,2018-12-02,4208.014999999999
789,2018-12-01,4131.5
790,2018-11-30,4142.18
791,2018-11-29,4288.014999999999
792,2018-11-28,4134.37
793,2018-11-27,3814.56
794,2018-11-26,3953.5
795,2018-11-25,3942.83
796,2018-11-24,4175.845
797,2018-11-23,4353.469999999999
798,2018-11-22,4528.385
799,2018-11-21,4600.525
800,2018-11-20,4687.12
801,2018-11-19,5259.5
